userid,NodeType,Partyaff
584069282,HealthAgency,
36790269,HealthAgency,
70775228,HealthAgency,
2339177324,HealthAgency,
176892371,HealthAgency,
70837868,HealthAgency,
44961877,HealthAgency,
23711785,HealthAgency,
57338289,HealthAgency,
25149628,HealthAgency,
16100741,HealthAgency,
76761964,HealthAgency,
3996166572,HealthAgency,
65677968,HealthAgency,
910239254894087936,HealthAgency,
26042513,HealthAgency,
252114970,HealthAgency,
1465196934,HealthAgency,
123926499,HealthAgency,
1667792120,HealthAgency,
815379032,HealthAgency,
90422822,HealthAgency,
454138567,HealthAgency,
151175266,HealthAgency,
3218464527,HealthAgency,
35239459,HealthAgency,
209599290,HealthAgency,
2535616304,HealthAgency,
84678363,HealthAgency,
68412042,HealthAgency,
36099461,HealthAgency,
35820178,HealthAgency,
188369254,HealthAgency,
59545968,HealthAgency,
2353731720,HealthAgency,
293028988,HealthAgency,
1019591965766109952,HealthAgency,
